Data info
File name: filename
Start time: 2012-11-05 15:33:41.335
Number of channels: 3
Sample rate: 520
Reduced rate: 0,025


Data1

Time [s]	Quantity1 - 12345678;  [qunit]	Distance - 12345678;  [mm]	Stresslevel& - 12345678;  [kLevel]	
12,875	0,00037387223	46,237453	3,3814263
12,9	3,7727877E-6	46,280468	2,9430535
12,925	0,0003375588	46,296104	2,5646458
12,95	0,00051729009	46,297348	2,2423506
12,975	9,2539471E-5	46,297756	1,9712061
13	-0,00023097638	46,301392	1,7463851
13,025	0,0001057433	46,324265	1,5632452
13,05	0,0001526936	46,357689	1,4144685
13,075	5,1090959E-5	46,369026	1,2914664
13,1	8,7037683E-5	46,383144	1,1912955
13,125	7,639965E-5	46,400299	1,1116995
13,15	3,6417972E-5	46,401085	1,0431441
13,175	-0,00011837017	46,400555	0,98658115
13,2	0,00064090104	46,403221	0,94066942
13,225	0,00053746486	46,420441	0,90278947
13,25	8,9090317E-6	46,442532	0,87061328
13,275	-0,00017339038	46,453522	0,84341764
13,3	-9,1226771E-5	46,457504	0,81980151
13,325	0,00019817706	46,460991	0,79918623
13,35	0,00064640399	46,465652	0,78071225
13,375	0,00046410458	46,469872	0,76427656
13,4	0,00026860135	46,467846	0,74962693
13,425	0,00017470075	46,471321	0,73561066
13,45	0,000405784	46,474777	0,72301716
13,475	-0,00015101535	46,499931	0,71076727
13,5	0,00011307979	46,503288	0,69957328
13,525	8,9090317E-6	46,503674	0,68937325
13,55	0,00022752071	46,503891	0,67924857
13,575	0,00026383298	46,507393	0,66904867
13,6	1,9404106E-6	46,517876	0,65988117
13,625	-5,9682876E-5	46,525921	0,65113986
13,65	0,00050188485	46,544487	0,64297891
13,675	3,6417972E-5	46,551613	0,63476777
13,7	0,00015379488	46,556389	0,62671274
13,725	0,00013618823	46,558182	0,61945426
13,75	4,2287633E-5	46,559692	0,61177152
13,775	-0,00030066958	46,560661	0,60447454
13,8	0,00045713596	46,560837	0,5976001
13,825	0,0001149145	46,56147	0,59099656
13,85	0,00022091763	46,562183	0,58415794
13,875	0,00013765506	46,562828	0,57835466
13,9	-0,00031313999	46,563492	0,57243109
13,925	-0,00017375592	46,563778	0,56627339
13,95	0,00034819683	46,564034	0,56086028
13,975	4,7056004E-5	46,563934	0,55495018
14	0,000225686	46,563847	0,54989237
14,025	0,00051545654	46,563995	0,54468471
14,05	-0,00022070622	46,564388	0,53957301
14,075	0,00051875808	46,565372	0,53423983
14,1	0,00020844722	46,566044	0,52972919
14,125	0,00011014612	46,567139	0,52539712
14,15	4,2653177E-5	46,569942	0,52075279
14,175	0,00012591807	46,572811	0,51659834
14,2	0,00031848531	46,577885	0,51222146
14,225	0,00039514713	46,597569	0,50837195
14,25	0,00034049479	46,598389	0,50438255
14,275	0,00013398798	46,602852	0,50072509
14,3	4,7056004E-5	46,604343	0,49689719
14,325	0,00050518638	46,601582	0,4932397
14,35	0,00011784816	46,605915	0,4900631
14,375	0,00037827389	46,607807	0,48652312
14,4	-6,7752786E-5	46,608017	0,48330972
14,425	0,00051068817	46,608124	0,48017886
14,45	9,0336893E-5	46,608311	0,47680306
14,475	-6,4973719E-6	46,60836	0,47402203
14,5	0,00038707722	46,60833	0,47123566
14,525	0,00026750239	46,608047	0,46836856
14,55	0,00027777255	46,608238	0,46533364
14,575	0,00044576451	46,608406	0,46266389
14,6	0,00046923966	46,608624	0,46033233
14,625	0,00027300417	46,608685	0,45736653
14,65	0,00045603584	46,608696	0,4550125
14,675	0,00031628506	46,60854	0,45262358
14,7	0,00067354622	46,608665	0,45016643
14,725	-0,00022070622	46,608528	0,44813719
14,75	-0,00020309957	46,608643	0,44559029
14,775	0,00041715428	46,608715	0,44350275
14,8	-2,2634864E-5	46,608391	0,44121066
